"Name","Beschreibung","Preis","Verfügbarkeit","Kategorie","Bild-URL"
"Ubiquiti EdgeRouter X","Leistungsstarker Router für kleine und mittlere Netzwerke mit erweiterter Konfigurationsoption.",79.99,"Auf Lager","Router","https://example.com/router1.jpg"
"Cisco Catalyst 2960X-48TS-L Switch","Managed Switch mit 48 Ports für Unternehmensnetzwerke mit Layer-2-Funktionen.",1299.99,"Auf Lager","Switch","https://example.com/switch1.jpg"
"Synology DS220+ NAS-Server","NAS-Server mit 2 Einschüben, Intel Celeron-Prozessor und umfangreichen Datenverwaltungsfunktionen.",399.99,"Auf Lager","NAS-Server","https://example.com/nas-server1.jpg"
"HPE ProLiant DL380 Gen10 Server","Hochleistungsserver mit Intel Xeon-Prozessor, skalierbarem Speicher und umfassenden Verwaltungsfunktionen.",2999.99,"Auf Lager","Server","https://example.com/server1.jpg"
"Dell PowerEdge R740 Rack-Server","Leistungsstarker Rack-Server mit skalierbarem Design, Intel Xeon-Prozessor und umfangreichen Verwaltungsfunktionen.",3999.99,"Auf Lager","Server","https://example.com/server2.jpg"
"Juniper SRX320 Services Gateway","Sicherheitsgateway für kleine und mittlere Unternehmen mit integrierter Firewall und VPN-Funktionen.",999.99,"Auf Lager","Gateway","https://example.com/gateway1.jpg"
"Aruba Instant On AP22 Access Point","Wireless Access Point mit hoher Leistung und einfacher Installation für kleine Unternehmen.",149.99,"Auf Lager","Access Point","https://example.com/access-point1.jpg"
"Fortinet FortiGate 60F Firewall","Firewall mit integrierter Bedrohungsabwehr und VPN-Funktionen für Netzwerksicherheit.",799.99,"Auf Lager","Firewall","https://example.com/firewall1.jpg"
"Lenovo ThinkSystem SR650 Server","Vielseitiger Server mit Intel Xeon-Prozessor, hoher Speicherkapazität und flexiblen Erweiterungsmöglichkeiten.",2499.99,"Auf Lager","Server","https://example.com/server3.jpg"
"HP OfficeConnect 1920S Switch","Managed Switch mit 24 Ports für kleine Unternehmen mit einfacher Einrichtung und Verwaltung.",299.99,"Auf Lager","Switch","https://example.com/switch2.jpg"
"Cisco ASA 5506-X Firewall","Leistungsstarke Firewall mit erweiterter Bedrohungsabwehr und VPN-Funktionen für Unternehmensnetzwerke.",1299.99,"Auf Lager","Firewall","https://example.com/firewall2.jpg"
"QNAP TS-453D NAS-Server","NAS-Server mit 4 Einschüben, Intel Celeron-Prozessor und umfangreichen Funktionen zur Dateispeicherung und Freigabe.",599.99,"Auf Lager","NAS-Server","https://example.com/nas-server2.jpg"
"Ubiquiti UniFi UAP-AC-PRO Access Point","Wireless Access Point mit hoher Reichweite und Unterstützung für mehrere Benutzer für Büros und Unternehmen.",199.99,"Auf Lager","Access Point","https://example.com/access-point2.jpg"
"Lenovo ThinkSystem ST550 Server","Leistungsstarker Server mit Intel Xeon-Prozessor, großer Speicherkapazität und zuverlässiger Leistung.",1999.99,"Auf Lager","Server","https://example.com/server4.jpg"
"Dell EMC PowerSwitch N1124P-ON Switch","Managed PoE-Switch mit 24 Ports für Netzwerke mit Stromversorgung über Ethernet (PoE).",599.99,"Auf Lager","Switch","https://example.com/switch3.jpg"
"Cisco RV345 VPN-Router","Router mit integrierter VPN-Funktion für sichere Verbindungen zwischen Netzwerken und Remote-Zugriff.",299.99,"Auf Lager","Router","https://example.com/router2.jpg"
"Aruba Instant On AP11D Access Point","Kompakter Wireless Access Point mit integrierter Wandsteckdose für kleine Unternehmen und Büros.",99.99,"Auf Lager","Access Point","https://example.com/access-point3.jpg"
"Fortinet FortiGate 40F Firewall","Kompakte Firewall mit erweiterter Bedrohungsabwehr und VPN-Funktionen für Netzwerksicherheit.",499.99,"Auf Lager","Firewall","https://example.com/firewall3.jpg"
"HPE OfficeConnect 1420-24G Switch","Unmanaged Switch mit 24 Gigabit-Ethernet-Ports für kleine Unternehmen und Home Offices.",149.99,"Auf Lager","Switch","https://example.com/switch4.jpg"
"Synology RS820+ RackStation","Leistungsstarkes Rackmount-NAS mit 4 Einschüben und umfangreichen Datenverwaltungsfunktionen.",899.99,"Auf Lager","NAS-Server","https://example.com/nas-server3.jpg"